SSIP,Stdevpack,Stdevbyte,NbFlow,NbIntFlow,Class
41,0.3897756765675669,75.804607046878985,41,0.5161290322580645,1
41,0.45074801975748774,119.7215856247992,41,0.5161290322580645,1
13,0.83516465442450327,351.01888749040273,26,1,0
13,0.71414284285428498,307.68079136501194,26,1,0
11,0.58823529411764708,334.99629187639414,22,1,0
12,0.64489926479132775,329.90476904070732,24,1,0
41,0.53005408790822528,115.61077907034823,41,0.5161290322580645,1
41,0.12597176896623641,53.160086503751721,41,0.5161290322580645,1
12,0.53220390568833376,299.20849881273909,25,1,0
41,0.45074801975748774,117.71931289517433,41,0.5161290322580645,1
13,0.62799283435402353,338.69610180071453,26,1,0
41,0.45074801975748774,115.7175011069413,41,0.5161290322580645,1
41,0.45074801975748774,120.7228876756222,41,0.5161290322580645,1
12,0.4330127018922193,324.5709370998527,24,1,0
41,0.45074801975748774,114.21645933825344,41,0.5161290322580645,1
41,0.45074801975748774,105.96612656499403,41,0.5161290322580645,1
12,0.73543097960432224,328.0370234915008,25,1,0
41,0.45074801975748774,110.71515231969735,41,0.5161290322580645,1
41,0.27982825117576571,78.286999676947062,41,0.5161290322580645,1
41,0.45074801975748774,102.71882051215815,41,0.5161290322580645,1
41,0.45074801975748774,105.21659440303679,41,0.5161290322580645,1
13,0.55677643628300211,342.18933994939118,26,1,0
41,0.12597176896623638,55.931465421008944,41,0.5161290322580645,1
12,0.56685945338257937,327.9712549055501,25,1,0
12,0.67300230219920654,296.84386094001974,24,1,0
41,0.45074801975748774,112.71570141037532,41,0.5161290322580645,1
41,0.45074801975748774,97.227652657086622,41,0.5161290322580645,1
41,0.27982825117576571,72.390541361893767,41,0.5161290322580645,1
13,0.66143782776614768,350.96651905844237,26,1,0
12,0.57474551757477776,331.28344392922304,25,1,0
41,0.27982825117576571,74.648306524753337,41,0.5161290322580645,1
41,0.27982825117576571,79.542029413940909,41,0.5161290322580645,1
41,0.45074801975748774,113.21592181832807,41,0.5161290322580645,1
12,0.67401307762451046,330.73217273664574,25,1,0
12,0.81649658092772603,302.2456115847213,24,1,0
41,0.45074801975748774,112.21551381187201,41,0.5161290322580645,1
13,0.47696960070847283,333.10372258502304,26,1,0
12,0.65314071821004516,322.38043371817918,25,1,0
41,0.27982825117576571,77.659541734912324,41,0.5161290322580645,1
12,0.85346063865206756,323.38337241663424,24,1,0
12,0.59078800843799073,321.73237359893807,25,1,0
12,0.71586686888081286,338.42725806703288,25,1,0
41,0.45074801975748774,110.71515231969735,41,0.5161290322580645,1
13,0.44651427748729383,347.75722853738063,26,1,0
12,0.59835164523716711,316.61419034005939,24,1,0
41,0.27982825117576571,76.906644016369341,41,0.5161290322580645,1
12,0.66666666666666663,333.77182616938245,24,1,0
41,0.45074801975748774,116.71834790097301,41,0.5161290322580645,1
13,0.58683472971527517,310.44316609485867,26,1,0
41,0.45074801975748774,121.22357892509589,41,0.5161290322580645,1
12,0.68211273098937086,322.6095122226609,24,1,0
41,0.45074801975748774,120.22222313051483,41,0.5161290322580645,1
12,0.48879409528965012,322.53995973099006,25,1,0
12,0.7447879841097319,318.5165765808535,25,1,0
12,0.49722220072871542,335.44202966109941,25,1,0
40,0.0,0.0,40,0.5,1
41,0.45074801975748774,108.21524875189705,41,0.5161290322580645,1
41,0.12597176896623638,49.380933434764678,41,0.5161290322580645,1
13,0.73484692283495345,315.95424411613783,26,1,0
12,0.58133479037827696,326.40104255611294,25,1,0
12,0.68211273098937086,304.59003513932106,24,1,0
13,0.57227615711297986,298.36755855823202,26,1,0
13,0.79214897588774302,334.31350462552359,26,1,0
41,0.12597176896623638,44.845949751980143,41,0.5161290322580645,1
12,0.64513950905954009,353.2541136866846,25,1,0
13,0.78700381193485969,331.58053226177196,26,1,0
41,0.35336939193881683,81.044790483510596,41,0.5161290322580645,1
41,0.53005408790822528,119.08424426451198,41,0.5161290322580645,1
13,0.59107952087684446,328.15805547784441,26,1,0
12,0.95702406538623419,298.6753509712139,24,1,0
40,0.0,0.0,40,0.5,1
12,0.71441431371043307,349.83785025086127,25,1,0
41,0.45074801975748774,101.72001011529834,41,0.5161290322580645,1
41,0.12597176896623641,49.884820510629581,41,0.5161290322580645,1
12,0.4969039949999533,326.85792185634256,24,1,0
41,0.27982825117576571,74.271971176166701,41,0.5161290322580645,1
41,0.45074801975748774,105.71627254570284,41,0.5161290322580645,1
12,0.48879409528965029,340.06404501084972,25,1,0
12,0.49999999999999994,286.85134017121953,24,1,0
41,0.27982825117576571,82.93131976597833,41,0.5161290322580645,1
42,0.44387102222943098,118.85899192293994,42,0.515625,1
41,0.45074801975748774,119.7215856247992,41,0.5161290322580645,1
13,0.52380817099392407,346.55475667634403,26,1,0
12,0.59078800843799073,322.88454494274094,25,1,0
42,0.44387102222943098,104.08492157098212,42,0.515625,1
41,0.27982825117576571,81.04825710148458,41,0.5161290322580645,1
41,0.27982825117576571,87.075051054415312,41,0.5161290322580645,1
13,0.76811457478686085,297.1525534132258,26,1,0
11,0.50344831672422619,336.66828956293443,22,1,0
40,0.0,0.0,40,0.5,1
12,0.77529365205293688,331.71617325473511,24,1,0
41,0.35336939193881689,85.518824259981358,41,0.5161290322580645,1
41,0.27982825117576571,73.895651954167974,41,0.5161290322580645,1
41,0.45074801975748774,106.71574757474663,41,0.5161290322580645,1
13,0.73100957586067228,324.41199114705978,26,1,0
13,0.6077622890571609,340.86740823962623,26,1,0
42,0.2755498763835687,86.100060737402359,42,0.515625,1
41,0.45074801975748774,113.71617460275876,41,0.5161290322580645,1
41,0.45074801975748774,110.21510044583323,41,0.5161290322580645,1
41,0.45074801975748774,111.21523881390031,41,0.5161290322580645,1
13,0.59107952087684446,331.55703789091854,26,1,0
13,0.57825167531101884,337.17487673312792,26,1,0
13,0.61997983838186221,322.15477258609718,26,1,0
41,0.12597176896623638,57.191183110671304,41,0.5161290322580645,1
41,0.45074801975748774,109.71508366567888,41,0.5161290322580645,1
13,0.8181534085976786,333.53577019564187,26,1,0
12,0.42514459003693461,326.62129586744254,25,1,0
12,0.67300230219920654,343.75770698431057,24,1,0
12,0.46482951928041294,326.80680799318202,25,1,0
40,0.0,0.0,40,0.5,1
12,0.85191652927571837,320.57796662743471,25,1,0
41,0.40579824598093944,81.854107735493528,41,0.5161290322580645,1
41,0.45074801975748774,108.71515732335503,41,0.5161290322580645,1
42,0.12401959270615269,48.615680340811849,42,0.515625,1
41,0.27982825117576571,87.451816672577081,41,0.5161290322580645,1
12,0.53995485601797866,315.61120077621081,25,1,0
13,0.57825167531101884,306.43712242481331,26,1,0
12,0.3876557858593746,351.44853888551671,25,1,0
41,0.45074801975748774,106.21599045582533,41,0.5161290322580645,1
13,0.78102496759066542,314.54306541394294,26,1,0
41,0.45074801975748774,109.71508366567888,41,0.5161290322580645,1
41,0.27982825117576571,72.014306591108181,41,0.5161290322580645,1
41,0.45074801975748774,99.223777193059234,41,0.5161290322580645,1
12,0.67814197865187231,310.78720613950634,24,1,0
13,0.72629195231669752,320.33949861826284,26,1,0
12,0.67401307762451046,315.65547266572571,25,1,0
12,0.76632735676637032,311.8687186067711,25,1,0
13,0.69597054535375269,315.28097686825316,26,1,0
12,0.59835164523716711,318.89288978326408,24,1,0
41,0.45074801975748774,102.21939331872137,41,0.5161290322580645,1
41,0.12597176896623638,48.373159283034745,41,0.5161290322580645,1
41,0.45074801975748774,101.22067155297772,41,0.5161290322580645,1
41,0.27982825117576571,88.205377418948501,41,0.5161290322580645,1
41,0.45074801975748774,109.21510246124004,41,0.5161290322580645,1
41,0.45074801975748774,103.21829105706458,41,0.5161290322580645,1
12,0.65999664231497124,334.27630206445036,25,1,0
41,0.27982825117576571,82.93131976597833,41,0.5161290322580645,1
11,0.52695508432849758,316.39769005145439,22,1,0
40,0.0,0.0,40,0.5,1
12,0.61551443906000947,311.88503441389753,24,1,0
12,0.49930699897395464,318.38992888344382,25,1,0
12,0.66574266529860604,330.58590331967304,25,1,0
13,0.67777208558629798,304.42511394429994,26,1,0
41,0.27982825117576571,74.648306524753337,41,0.5161290322580645,1
41,0.53005408790822528,113.13176868752815,41,0.5161290322580645,1
13,0.57227615711297986,336.23172719866875,26,1,0
41,0.35336939193881689,73.976085583744194,41,0.5161290322580645,1
13,0.58683472971527506,280.69350611476568,26,1,0
41,0.45074801975748774,121.22357892509589,41,0.5161290322580645,1
41,0.45074801975748774,107.21554335418242,41,0.5161290322580645,1
41,0.59130008967172143,99.774709801236284,41,0.5161290322580645,1
12,0.67811045930132241,327.56165392046972,25,1,0
12,0.59545834205182957,327.6093249681611,25,1,0
12,0.76376261582597338,344.82826733117065,24,1,0
12,0.65999664231497124,311.72834811641781,25,1,0
41,0.45074801975748774,108.21524875189705,41,0.5161290322580645,1
41,0.27982825117576571,76.153804403181653,41,0.5161290322580645,1
12,0.82167774765272439,320.00698656532063,24,1,0
41,0.45074801975748774,97.227652657086622,41,0.5161290322580645,1
41,0.45074801975748774,117.71931289517433,41,0.5161290322580645,1
41,0.12597176896623638,53.160086503751735,41,0.5161290322580645,1
12,0.56685945338257937,350.92604045949076,25,1,0
41,0.45074801975748774,113.71617460275876,41,0.5161290322580645,1
13,0.72629195231669752,326.73892387501064,26,1,0
11,0.44117647058823528,344.85616077764593,22,1,0
41,0.45074801975748774,105.71627254570284,41,0.5161290322580645,1
41,0.45074801975748774,100.7213782957007,41,0.5161290322580645,1
12,0.57735026918962573,308.32165518425001,24,1,0
12,0.56685945338257937,342.03638982827397,25,1,0
12,0.70465409678925728,306.30823828637921,25,1,0
13,0.66895440801298267,335.0793189679124,26,1,0
41,0.45074801975748774,111.71535946351526,41,0.5161290322580645,1
