cookie=0x0, duration=20.777s, table=0, n_packets=1, n_bytes=98, idle_age=20, priority=1,ip,dl_src=16:56:83:21:27:09,dl_dst=62:45:17:66:cd:66,nw_src=10.0.0.8,nw_dst=10.0.0.1 actions=output:1
cookie=0x0, duration=20.768s, table=0, n_packets=1, n_bytes=98, idle_age=20, priority=1,ip,dl_src=62:45:17:66:cd:66,dl_dst=16:56:83:21:27:09,nw_src=10.0.0.1,nw_dst=10.0.0.8 actions=output:5
cookie=0x0, duration=20.751s, table=0, n_packets=1, n_bytes=98, idle_age=20, priority=1,ip,dl_src=16:56:83:21:27:09,dl_dst=c6:79:a2:f1:99:0a,nw_src=10.0.0.8,nw_dst=10.0.0.2 actions=output:2
cookie=0x0, duration=20.746s, table=0, n_packets=1, n_bytes=98, idle_age=20, priority=1,ip,dl_src=c6:79:a2:f1:99:0a,dl_dst=16:56:83:21:27:09,nw_src=10.0.0.2,nw_dst=10.0.0.8 actions=output:5
cookie=0x0, duration=20.732s, table=0, n_packets=1, n_bytes=98, idle_age=20, priority=1,ip,dl_src=16:56:83:21:27:09,dl_dst=36:a9:ff:3b:66:da,nw_src=10.0.0.8,nw_dst=10.0.0.6 actions=output:4
cookie=0x0, duration=20.728s, table=0, n_packets=1, n_bytes=98, idle_age=20, priority=1,ip,dl_src=36:a9:ff:3b:66:da,dl_dst=16:56:83:21:27:09,nw_src=10.0.0.6,nw_dst=10.0.0.8 actions=output:5
cookie=0x0, duration=20.718s, table=0, n_packets=1, n_bytes=98, idle_age=20, priority=1,ip,dl_src=16:56:83:21:27:09,dl_dst=2e:3a:80:6f:85:4a,nw_src=10.0.0.8,nw_dst=10.0.0.4 actions=output:3
cookie=0x0, duration=20.715s, table=0, n_packets=1, n_bytes=98, idle_age=20, priority=1,ip,dl_src=2e:3a:80:6f:85:4a,dl_dst=16:56:83:21:27:09,nw_src=10.0.0.4,nw_dst=10.0.0.8 actions=output:5
cookie=0x0, duration=20.706s, table=0, n_packets=1, n_bytes=98, idle_age=20, priority=1,ip,dl_src=16:56:83:21:27:09,dl_dst=7e:0c:49:8f:61:3a,nw_src=10.0.0.8,nw_dst=10.0.0.3 actions=output:2
cookie=0x0, duration=20.702s, table=0, n_packets=1, n_bytes=98, idle_age=20, priority=1,ip,dl_src=7e:0c:49:8f:61:3a,dl_dst=16:56:83:21:27:09,nw_src=10.0.0.3,nw_dst=10.0.0.8 actions=output:5
cookie=0x0, duration=20.684s, table=0, n_packets=1, n_bytes=98, idle_age=20, priority=1,ip,dl_src=16:56:83:21:27:09,dl_dst=c6:05:d7:37:55:5a,nw_src=10.0.0.8,nw_dst=10.0.0.5 actions=output:3
cookie=0x0, duration=20.681s, table=0, n_packets=1, n_bytes=98, idle_age=20, priority=1,ip,dl_src=c6:05:d7:37:55:5a,dl_dst=16:56:83:21:27:09,nw_src=10.0.0.5,nw_dst=10.0.0.8 actions=output:5
cookie=0x0, duration=20.668s, table=0, n_packets=1, n_bytes=98, idle_age=20, priority=1,ip,dl_src=16:56:83:21:27:09,dl_dst=d2:b1:ff:0d:61:64,nw_src=10.0.0.8,nw_dst=10.0.0.7 actions=output:4
cookie=0x0, duration=20.664s, table=0, n_packets=1, n_bytes=98, idle_age=20, priority=1,ip,dl_src=d2:b1:ff:0d:61:64,dl_dst=16:56:83:21:27:09,nw_src=10.0.0.7,nw_dst=10.0.0.8 actions=output:5
cookie=0x0, duration=20.653s, table=0, n_packets=1, n_bytes=98, idle_age=20, priority=1,ip,dl_src=62:45:17:66:cd:66,dl_dst=c6:79:a2:f1:99:0a,nw_src=10.0.0.1,nw_dst=10.0.0.2 actions=output:2
cookie=0x0, duration=20.649s, table=0, n_packets=1, n_bytes=98, idle_age=20, priority=1,ip,dl_src=c6:79:a2:f1:99:0a,dl_dst=62:45:17:66:cd:66,nw_src=10.0.0.2,nw_dst=10.0.0.1 actions=output:1
cookie=0x0, duration=20.640s, table=0, n_packets=1, n_bytes=98, idle_age=20, priority=1,ip,dl_src=62:45:17:66:cd:66,dl_dst=36:a9:ff:3b:66:da,nw_src=10.0.0.1,nw_dst=10.0.0.6 actions=output:4
cookie=0x0, duration=20.636s, table=0, n_packets=1, n_bytes=98, idle_age=20, priority=1,ip,dl_src=36:a9:ff:3b:66:da,dl_dst=62:45:17:66:cd:66,nw_src=10.0.0.6,nw_dst=10.0.0.1 actions=output:1
cookie=0x0, duration=20.626s, table=0, n_packets=1, n_bytes=98, idle_age=20, priority=1,ip,dl_src=62:45:17:66:cd:66,dl_dst=2e:3a:80:6f:85:4a,nw_src=10.0.0.1,nw_dst=10.0.0.4 actions=output:3
cookie=0x0, duration=20.623s, table=0, n_packets=1, n_bytes=98, idle_age=20, priority=1,ip,dl_src=2e:3a:80:6f:85:4a,dl_dst=62:45:17:66:cd:66,nw_src=10.0.0.4,nw_dst=10.0.0.1 actions=output:1
